#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACACA	H6PD	9606.ENSP00000483300	9606.ENSP00000473348	0	0	0	0	0.042	0	0	0.541	0.542
ACACA	UCP2	9606.ENSP00000483300	9606.ENSP00000499695	0	0	0	0	0.060	0	0	0.419	0.430
ACACA	FDFT1	9606.ENSP00000483300	9606.ENSP00000491537	0	0	0	0	0.128	0.073	0	0.399	0.471
ACACB	GPAT3	9606.ENSP00000341044	9606.ENSP00000264409	0	0	0	0	0	0	0	0.411	0.411
ACACB	HMGCR	9606.ENSP00000341044	9606.ENSP00000287936	0	0	0	0	0	0	0	0.605	0.605
ACACB	FASN	9606.ENSP00000341044	9606.ENSP00000304592	0.055	0	0	0	0.308	0	0.900	0.908	0.993
ACACB	HMGCS1	9606.ENSP00000341044	9606.ENSP00000322706	0	0	0	0	0.055	0	0	0.397	0.405
ACACB	ALDH1A3	9606.ENSP00000341044	9606.ENSP00000332256	0	0	0	0	0	0.063	0	0.418	0.431
ACACB	ALDOC	9606.ENSP00000341044	9606.ENSP00000378731	0	0	0	0	0.054	0	0	0.404	0.412
ACACB	ACSS3	9606.ENSP00000341044	9606.ENSP00000449535	0.055	0	0	0	0.123	0.069	0	0.355	0.435
ACACB	H6PD	9606.ENSP00000341044	9606.ENSP00000473348	0	0	0	0	0.060	0	0	0.445	0.456
ACACB	SREBF2	9606.ENSP00000341044	9606.ENSP00000354476	0	0	0	0	0	0	0	0.491	0.491
ACACB	CD36	9606.ENSP00000341044	9606.ENSP00000415743	0	0	0	0	0.109	0	0	0.506	0.541
ACACB	SCD	9606.ENSP00000341044	9606.ENSP00000359380	0	0	0	0	0.299	0	0	0.664	0.754
ACACB	ALDH18A1	9606.ENSP00000341044	9606.ENSP00000360268	0.070	0	0	0	0	0	0.767	0.088	0.785
ACPP	SYT7	9606.ENSP00000323036	9606.ENSP00000444201	0	0	0	0	0	0	0	0.584	0.584
ACSS3	FASN	9606.ENSP00000449535	9606.ENSP00000304592	0	0	0	0	0.113	0.091	0	0.425	0.496
ACSS3	ALDH1A3	9606.ENSP00000449535	9606.ENSP00000332256	0.041	0	0	0	0.213	0.060	0.185	0.141	0.413
ACSS3	AOX1	9606.ENSP00000449535	9606.ENSP00000363832	0	0	0	0	0.077	0	0.800	0.085	0.816
ACVRL1	BMP4	9606.ENSP00000373574	9606.ENSP00000245451	0	0	0	0	0.066	0.457	0	0.833	0.908
ACVRL1	RGS20	9606.ENSP00000373574	9606.ENSP00000297313	0	0	0	0	0.051	0.127	0	0.388	0.448
ACVRL1	TGFB2	9606.ENSP00000373574	9606.ENSP00000355896	0	0	0	0	0	0.126	0	0.621	0.655
ACVRL1	CD55	9606.ENSP00000373574	9606.ENSP00000356030	0	0	0	0	0	0.045	0	0.581	0.583
ACVRL1	COL5A1	9606.ENSP00000373574	9606.ENSP00000360882	0	0	0	0	0.067	0.084	0	0.458	0.496
ACVRL1	GDF5	9606.ENSP00000373574	9606.ENSP00000363492	0	0	0	0	0	0.300	0	0.284	0.477
ACVRL1	ID1	9606.ENSP00000373574	9606.ENSP00000365280	0	0	0	0	0.049	0	0	0.552	0.555
ACVRL1	TBX4	9606.ENSP00000373574	9606.ENSP00000495986	0	0	0	0	0.049	0	0	0.586	0.589
ADAM12	MMP2	9606.ENSP00000357668	9606.ENSP00000219070	0	0	0	0	0.180	0	0	0.379	0.469
ADAM12	COL1A1	9606.ENSP00000357668	9606.ENSP00000225964	0	0	0	0	0.160	0	0	0.367	0.446
ADAM12	IGFBP5	9606.ENSP00000357668	9606.ENSP00000233813	0	0	0	0	0.084	0.292	0	0.367	0.553
ADAM12	COL6A3	9606.ENSP00000357668	9606.ENSP00000295550	0	0	0	0	0.162	0	0	0.422	0.495
ADAM12	COL1A2	9606.ENSP00000357668	9606.ENSP00000297268	0	0	0	0	0.169	0	0	0.340	0.428
ADAM12	MMP3	9606.ENSP00000357668	9606.ENSP00000299855	0	0	0	0	0.088	0	0	0.375	0.405
ADAM12	COL3A1	9606.ENSP00000357668	9606.ENSP00000304408	0	0	0	0	0.162	0	0	0.330	0.415
ADAM12	MMP1	9606.ENSP00000357668	9606.ENSP00000322788	0	0	0	0	0.097	0	0	0.546	0.573
ADAM12	FBN1	9606.ENSP00000357668	9606.ENSP00000325527	0	0	0	0	0.213	0.045	0	0.321	0.445
ADAM12	ITGA11	9606.ENSP00000357668	9606.ENSP00000327290	0	0	0	0	0.129	0	0	0.467	0.515
ADAM12	SGCD	9606.ENSP00000357668	9606.ENSP00000338343	0	0	0	0	0.097	0	0	0.528	0.555
ADAM12	MYOF	9606.ENSP00000357668	9606.ENSP00000352208	0	0	0	0	0.106	0	0	0.431	0.469
ADAM12	DMD	9606.ENSP00000357668	9606.ENSP00000354923	0	0	0	0	0	0	0	0.448	0.448
ADAM12	PGF	9606.ENSP00000357668	9606.ENSP00000451040	0	0	0	0	0.056	0	0	0.435	0.443
ADAM12	POSTN	9606.ENSP00000357668	9606.ENSP00000369071	0	0	0	0	0.253	0	0	0.366	0.506
ADAM12	COL5A1	9606.ENSP00000357668	9606.ENSP00000360882	0	0	0	0	0.246	0	0	0.383	0.515
ADAM12	COL11A1	9606.ENSP00000357668	9606.ENSP00000359114	0	0	0	0	0.245	0	0	0.386	0.516
ADAM12	SDC1	9606.ENSP00000357668	9606.ENSP00000370542	0	0	0	0	0.058	0	0	0.787	0.790
ADAM33	TSLP	9606.ENSP00000348912	9606.ENSP00000339804	0	0	0	0	0	0	0	0.418	0.418
ADAM33	SOAT1	9606.ENSP00000348912	9606.ENSP00000356591	0	0	0	0	0	0.235	0	0.357	0.487
ADAMTS15	CD36	9606.ENSP00000299164	9606.ENSP00000415743	0	0	0	0	0	0	0	0.467	0.467
ADGRG1	GPRC5B	9606.ENSP00000455215	9606.ENSP00000300571	0	0	0	0	0.048	0	0	0.466	0.470
ADGRG1	COL3A1	9606.ENSP00000455215	9606.ENSP00000304408	0	0	0	0	0	0.095	0	0.693	0.710
ADGRG1	GNB2	9606.ENSP00000455215	9606.ENSP00000305260	0	0	0	0	0.060	0.401	0	0	0.413
ADGRG1	GNG2	9606.ENSP00000455215	9606.ENSP00000334448	0	0	0	0	0.048	0.941	0	0.068	0.943
ADGRG1	ELN	9606.ENSP00000455215	9606.ENSP00000351807	0	0	0	0	0	0	0	0.497	0.497
ADGRG1	TGM2	9606.ENSP00000455215	9606.ENSP00000355330	0	0	0	0	0.060	0	0	0.849	0.852
ADGRG1	CD55	9606.ENSP00000455215	9606.ENSP00000356030	0	0	0.201	0	0	0	0	0.415	0.512
ADGRG1	NYNRIN	9606.ENSP00000455215	9606.ENSP00000371994	0	0	0	0	0.048	0	0	0.448	0.452
ADGRG1	ARRB2	9606.ENSP00000455215	9606.ENSP00000403701	0	0	0	0	0	0.299	0	0.540	0.664
ADGRL2	DCN	9606.ENSP00000359765	9606.ENSP00000052754	0	0	0	0	0.062	0.514	0	0.057	0.532
ADGRL2	MXRA5	9606.ENSP00000359765	9606.ENSP00000217939	0	0	0	0	0.074	0.514	0	0	0.530
ADGRL2	GNG11	9606.ENSP00000359765	9606.ENSP00000248564	0	0	0	0	0.047	0.469	0	0	0.472
ADGRL2	ISLR	9606.ENSP00000359765	9606.ENSP00000249842	0	0	0	0	0.048	0.514	0	0	0.517
ADGRL2	GYPC	9606.ENSP00000359765	9606.ENSP00000259254	0	0	0	0	0.054	0	0	0.399	0.407
ADGRL2	LUM	9606.ENSP00000359765	9606.ENSP00000266718	0	0	0	0	0.063	0.514	0	0	0.525
ADGRL2	TENM4	9606.ENSP00000359765	9606.ENSP00000278550	0	0	0	0	0.050	0.967	0	0.822	0.993
ADGRL2	GPRC5B	9606.ENSP00000359765	9606.ENSP00000300571	0	0	0	0	0.060	0	0	0.411	0.423
ADGRL2	GNB2	9606.ENSP00000359765	9606.ENSP00000305260	0	0	0	0	0.060	0.967	0	0.121	0.970
ADGRL2	BAALC	9606.ENSP00000359765	9606.ENSP00000312457	0	0	0	0	0.045	0.469	0	0.049	0.475
ADGRL2	BGN	9606.ENSP00000359765	9606.ENSP00000327336	0	0	0	0	0.065	0.514	0	0.076	0.543
ADGRL2	FLRT2	9606.ENSP00000359765	9606.ENSP00000332879	0	0	0	0	0.127	0.531	0	0.455	0.757
ADGRL2	GNG2	9606.ENSP00000359765	9606.ENSP00000334448	0	0	0	0	0	0.469	0	0	0.469
ADGRL2	HEXD	9606.ENSP00000359765	9606.ENSP00000337854	0	0	0	0	0	0.752	0	0	0.752
ADGRL2	PRELP	9606.ENSP00000359765	9606.ENSP00000343924	0	0	0	0	0.045	0.514	0	0.108	0.549
ADGRL2	LRRC8C	9606.ENSP00000359765	9606.ENSP00000359483	0	0	0	0	0	0.514	0	0	0.514
ADGRL2	SEMA5A	9606.ENSP00000359765	9606.ENSP00000371936	0	0	0	0	0.067	0	0	0.423	0.439
ADGRL2	SLITRK6	9606.ENSP00000359765	9606.ENSP00000495507	0	0	0	0	0.042	0.514	0	0	0.514
ADGRL2	PODN	9606.ENSP00000359765	9606.ENSP00000379212	0	0	0	0	0	0.514	0	0	0.514
ADGRL2	LRRC32	9606.ENSP00000359765	9606.ENSP00000384126	0	0	0	0	0.044	0.514	0	0	0.515
ADGRL2	TSKU	9606.ENSP00000359765	9606.ENSP00000434847	0	0	0	0	0	0.514	0	0.085	0.536
ADGRL2	ROBO1	9606.ENSP00000359765	9606.ENSP00000420321	0	0	0	0	0.182	0.081	0	0.492	0.585
ADGRL2	GCNT2	9606.ENSP00000359765	9606.ENSP00000419411	0	0	0	0	0.044	0	0	0.613	0.614
ADGRL2	GNAZ	9606.ENSP00000359765	9606.ENSP00000478892	0	0	0	0	0	0.752	0	0.046	0.753
ADGRL2	GNAI1	9606.ENSP00000359765	9606.ENSP00000497260	0	0	0	0	0.099	0.752	0	0	0.766
ADGRL2	TENM3	9606.ENSP00000359765	9606.ENSP00000424226	0	0	0	0	0.081	0.967	0	0.490	0.983
ADH1B	FMO2	9606.ENSP00000306606	9606.ENSP00000209929	0	0	0	0	0.340	0	0	0.335	0.542
ADH1B	GSTM5	9606.ENSP00000306606	9606.ENSP00000256593	0	0	0	0	0.126	0.070	0.650	0.227	0.750
ADH1B	PTGFR	9606.ENSP00000306606	9606.ENSP00000359793	0	0	0	0	0.096	0	0	0.365	0.401
ADH1B	FMO3	9606.ENSP00000306606	9606.ENSP00000356729	0	0	0	0	0.300	0	0	0.215	0.427
ADH1B	CRYZ	9606.ENSP00000306606	9606.ENSP00000399805	0	0	0	0.581	0.042	0	0.118	0.428	0.474
ADH1B	H6PD	9606.ENSP00000306606	9606.ENSP00000473348	0	0	0	0	0.088	0	0	0.451	0.478
ADH1B	MTHFR	9606.ENSP00000306606	9606.ENSP00000365770	0	0	0	0	0	0	0	0.609	0.609
ADH1B	CHRM2	9606.ENSP00000306606	9606.ENSP00000399745	0	0	0	0	0	0	0	0.614	0.614
ADH1B	MGST2	9606.ENSP00000306606	9606.ENSP00000482639	0	0	0	0	0.044	0	0.650	0.073	0.662
ADH1B	GSTO2	9606.ENSP00000306606	9606.ENSP00000345023	0	0	0	0	0	0	0.650	0.091	0.668
ADH1B	GSTM4	9606.ENSP00000306606	9606.ENSP00000358851	0	0	0	0	0.068	0.070	0.650	0	0.670
ADH1B	GSTM3	9606.ENSP00000306606	9606.ENSP00000354357	0	0	0	0	0.075	0.070	0.650	0.183	0.721
ADH1B	ALDH1A3	9606.ENSP00000306606	9606.ENSP00000332256	0.048	0.002	0	0	0.120	0	0.706	0.368	0.824
ADH1B	MAOB	9606.ENSP00000306606	9606.ENSP00000367309	0	0	0	0	0.148	0	0.908	0.226	0.934
ADH1B	MAOA	9606.ENSP00000306606	9606.ENSP00000340684	0	0	0	0	0.159	0	0.908	0.359	0.946
ADH1B	AOX1	9606.ENSP00000306606	9606.ENSP00000363832	0	0	0	0	0.263	0	0.900	0.406	0.952
ADM2	GNG2	9606.ENSP00000379087	9606.ENSP00000334448	0	0	0	0	0	0.800	0	0	0.800
ADM2	CGA	9606.ENSP00000379087	9606.ENSP00000482232	0	0	0	0	0	0	0.400	0.114	0.446
ADRA1D	GNG11	9606.ENSP00000368766	9606.ENSP00000248564	0	0	0	0	0	0.120	0.500	0.104	0.571
ADRA1D	GNB2	9606.ENSP00000368766	9606.ENSP00000305260	0	0	0	0	0.055	0.238	0.500	0.080	0.624
ADRA1D	GNG2	9606.ENSP00000368766	9606.ENSP00000334448	0	0	0	0	0	0.171	0.500	0.119	0.602
ADRA1D	DMD	9606.ENSP00000368766	9606.ENSP00000354923	0	0	0	0	0	0.510	0	0.437	0.712
ADRA1D	SLC4A4	9606.ENSP00000368766	9606.ENSP00000393557	0	0	0	0	0.106	0	0	0.359	0.403
ADRA1D	ARRB2	9606.ENSP00000368766	9606.ENSP00000403701	0	0	0	0	0.086	0.108	0	0.524	0.578
ADRA1D	DTNA	9606.ENSP00000368766	9606.ENSP00000470152	0	0	0	0	0.056	0.735	0	0.079	0.749
AEBP1	PCOLCE	9606.ENSP00000223357	9606.ENSP00000223061	0	0	0	0	0.314	0	0	0.302	0.500
AEBP1	PDGFRB	9606.ENSP00000223357	9606.ENSP00000261799	0	0	0	0	0.260	0	0	0.226	0.403
AEBP1	COL6A1	9606.ENSP00000223357	9606.ENSP00000355180	0	0	0	0	0.270	0	0	0.264	0.440
AEBP1	LUM	9606.ENSP00000223357	9606.ENSP00000266718	0	0	0	0	0.272	0.042	0	0.269	0.446
AEBP1	POSTN	9606.ENSP00000223357	9606.ENSP00000369071	0	0	0	0	0.200	0	0	0.363	0.468
AEBP1	COL11A1	9606.ENSP00000223357	9606.ENSP00000359114	0	0	0	0	0.177	0	0	0.383	0.471
AEBP1	COL6A3	9606.ENSP00000223357	9606.ENSP00000295550	0	0	0	0	0.257	0	0	0.320	0.473
AEBP1	COL12A1	9606.ENSP00000223357	9606.ENSP00000325146	0	0	0	0	0.144	0	0	0.436	0.496
AEBP1	COL3A1	9606.ENSP00000223357	9606.ENSP00000304408	0	0	0	0	0.270	0	0	0.382	0.530
AEBP1	COL14A1	9606.ENSP00000223357	9606.ENSP00000297848	0	0	0	0	0.179	0	0	0.466	0.543
AEBP1	COL1A1	9606.ENSP00000223357	9606.ENSP00000225964	0	0	0	0	0.309	0	0	0.392	0.562
AEBP1	BGN	9606.ENSP00000223357	9606.ENSP00000327336	0	0	0	0	0.371	0.042	0	0.337	0.566
AEBP1	COL6A2	9606.ENSP00000223357	9606.ENSP00000300527	0	0	0	0	0.342	0	0	0.377	0.572
AEBP1	COL5A1	9606.ENSP00000223357	9606.ENSP00000360882	0	0	0	0	0.287	0	0	0.429	0.576
AEBP1	COL1A2	9606.ENSP00000223357	9606.ENSP00000297268	0	0	0	0	0.343	0	0	0.383	0.578
AEBP1	THBS2	9606.ENSP00000223357	9606.ENSP00000355751	0	0	0	0	0.360	0	0	0.393	0.595
AHNAK2	HMCN1	9606.ENSP00000353114	9606.ENSP00000271588	0	0	0	0	0.072	0.113	0	0.397	0.460
AHNAK2	MYOF	9606.ENSP00000353114	9606.ENSP00000352208	0	0	0	0	0.185	0.045	0	0.451	0.536
AHNAK2	POSTN	9606.ENSP00000353114	9606.ENSP00000369071	0	0	0	0	0.084	0.046	0	0.398	0.428
AK5	CD74	9606.ENSP00000346577	9606.ENSP00000009530	0.058	0	0	0	0.400	0	0	0.138	0.470
AK5	NT5C	9606.ENSP00000346577	9606.ENSP00000245552	0	0	0	0	0	0	0.684	0.055	0.689
AK5	NT5C2	9606.ENSP00000346577	9606.ENSP00000339479	0	0	0	0	0	0	0.650	0.048	0.652
AK5	AMPH	9606.ENSP00000346577	9606.ENSP00000348602	0	0	0	0	0.136	0	0	0.353	0.418
AK5	EIF1AY	9606.ENSP00000346577	9606.ENSP00000354722	0.061	0	0	0	0.475	0	0	0.164	0.551
AK5	UTY	9606.ENSP00000346577	9606.ENSP00000442047	0.050	0	0	0	0.142	0	0.426	0.166	0.557
AK5	PDE1C	9606.ENSP00000346577	9606.ENSP00000379496	0	0	0	0	0.121	0	0.650	0.081	0.692
AKAP12	ZFAND2A	9606.ENSP00000384537	9606.ENSP00000314619	0	0	0	0	0	0	0	0.422	0.422
AKAP12	SOWAHC	9606.ENSP00000384537	9606.ENSP00000365830	0	0	0	0	0.050	0	0.400	0	0.405
AKAP12	KIF20A	9606.ENSP00000384537	9606.ENSP00000378356	0	0	0	0	0.064	0	0	0.428	0.441
AKAP12	ARRB2	9606.ENSP00000384537	9606.ENSP00000403701	0	0	0	0	0	0	0	0.458	0.457
AKAP12	NNMT	9606.ENSP00000384537	9606.ENSP00000441434	0	0	0	0	0.661	0	0	0.251	0.735
AKR1C2	HSD17B2	9606.ENSP00000370129	9606.ENSP00000199936	0	0	0	0	0.107	0	0	0.481	0.517
AKR1C2	HSD17B1	9606.ENSP00000370129	9606.ENSP00000225929	0	0	0	0	0.104	0.045	0.098	0.496	0.559
AKR1C2	H6PD	9606.ENSP00000370129	9606.ENSP00000473348	0.057	0	0	0	0.108	0	0	0.359	0.414
ALDH18A1	RIN2	9606.ENSP00000360268	9606.ENSP00000255006	0	0	0	0	0	0	0	0.548	0.548
ALDH18A1	PRKG2	9606.ENSP00000360268	9606.ENSP00000264399	0.053	0	0	0	0.063	0	0.401	0.057	0.431
ALDH18A1	SQLE	9606.ENSP00000360268	9606.ENSP00000265896	0	0	0	0	0.099	0	0	0.455	0.488
ALDH18A1	PGD	9606.ENSP00000360268	9606.ENSP00000270776	0	0	0	0	0.062	0	0	0.454	0.466
ALDH18A1	EIF5A2	9606.ENSP00000360268	9606.ENSP00000295822	0.275	0	0	0	0	0	0	0.345	0.504
ALDH18A1	AQP1	9606.ENSP00000360268	9606.ENSP00000311165	0	0	0	0	0.087	0.093	0	0.351	0.415
ALDH18A1	TYMS	9606.ENSP00000360268	9606.ENSP00000315644	0.272	0	0	0	0.168	0	0	0.394	0.600
ALDH18A1	SLC9A9	9606.ENSP00000360268	9606.ENSP00000320246	0.233	0	0	0	0	0	0	0.279	0.423
ALDH18A1	PLPP2	9606.ENSP00000360268	9606.ENSP00000329697	0.121	0	0	0	0.069	0	0	0.359	0.431
ALDH18A1	GPR173	9606.ENSP00000360268	9606.ENSP00000331600	0	0	0	0	0	0	0	0.684	0.684
ALDH18A1	ALDH1A3	9606.ENSP00000360268	9606.ENSP00000332256	0.055	0	0	0	0.062	0	0.287	0.573	0.694
ALDH18A1	OAT	9606.ENSP00000360268	9606.ENSP00000357838	0.355	0	0	0	0.061	0.291	0.983	0.811	0.998
ALDH18A1	PGAM1	9606.ENSP00000360268	9606.ENSP00000359991	0.042	0	0	0	0.100	0	0	0.393	0.431
ALDH18A1	MTHFR	9606.ENSP00000360268	9606.ENSP00000365770	0.054	0	0	0	0	0	0	0.404	0.412
ALDH18A1	CPOX	9606.ENSP00000360268	9606.ENSP00000497326	0	0	0	0	0.056	0	0	0.418	0.427
ALDH18A1	GPR1	9606.ENSP00000360268	9606.ENSP00000480405	0	0	0	0	0	0	0	0.442	0.442
ALDH18A1	UTY	9606.ENSP00000360268	9606.ENSP00000442047	0.187	0	0	0	0	0	0	0.348	0.447
ALDH18A1	H6PD	9606.ENSP00000360268	9606.ENSP00000473348	0	0	0	0	0.042	0	0	0.446	0.447
ALDH18A1	CD36	9606.ENSP00000360268	9606.ENSP00000415743	0	0	0	0	0.049	0	0	0.463	0.467
ALDH18A1	CPPED1	9606.ENSP00000360268	9606.ENSP00000371193	0.274	0	0	0	0.042	0	0	0.350	0.508
ALDH18A1	S1PR3	9606.ENSP00000360268	9606.ENSP00000365006	0	0	0	0	0	0	0	0.568	0.568
ALDH18A1	PHGDH	9606.ENSP00000360268	9606.ENSP00000493382	0.283	0	0	0	0.215	0	0	0.635	0.776
ALDH18A1	ASNS	9606.ENSP00000360268	9606.ENSP00000377845	0.055	0	0	0	0.308	0	0.673	0.657	0.917
ALDH18A1	PYCR1	9606.ENSP00000360268	9606.ENSP00000384949	0.272	0	0	0	0.454	0.095	0	0.956	0.982
ALDH1A3	RBP1	9606.ENSP00000332256	9606.ENSP00000232219	0	0	0	0	0.075	0	0	0.571	0.586
ALDH1A3	RDH10	9606.ENSP00000332256	9606.ENSP00000240285	0.042	0	0	0	0.139	0.069	0.913	0.690	0.975
ALDH1A3	CYP2S1	9606.ENSP00000332256	9606.ENSP00000308032	0	0	0	0	0.059	0.045	0.910	0.131	0.920
ALDH1A3	H6PD	9606.ENSP00000332256	9606.ENSP00000473348	0.098	0	0	0	0.074	0.077	0	0.316	0.402
ALDH1A3	PAX6	9606.ENSP00000332256	9606.ENSP00000492024	0	0	0	0	0	0	0	0.441	0.441
ALDH1A3	SDHB	9606.ENSP00000332256	9606.ENSP00000364649	0	0	0	0	0.123	0	0.287	0.209	0.462
ALDH1A3	OAT	9606.ENSP00000332256	9606.ENSP00000357838	0.061	0.005	0	0	0.135	0	0.287	0.191	0.468
ALDH1A3	CYP1B1	9606.ENSP00000332256	9606.ENSP00000478561	0	0	0	0	0.087	0.045	0.138	0.453	0.534
ALDH1A3	AOX1	9606.ENSP00000332256	9606.ENSP00000363832	0	0	0	0	0.139	0	0.900	0.496	0.952
ALDH1A3	DHRS3	9606.ENSP00000332256	9606.ENSP00000480439	0.042	0	0	0	0.167	0.069	0.913	0.497	0.961
ALDOC	FASN	9606.ENSP00000378731	9606.ENSP00000304592	0	0	0	0	0.100	0	0	0.508	0.539
ALDOC	BNIP3	9606.ENSP00000378731	9606.ENSP00000357625	0	0	0	0	0.182	0	0	0.355	0.450
ALDOC	PGAM1	9606.ENSP00000378731	9606.ENSP00000359991	0.053	0	0	0	0.145	0.194	0.800	0.628	0.942
ALDOC	PGM1	9606.ENSP00000378731	9606.ENSP00000360124	0	0	0	0	0.179	0	0	0.467	0.544
ALDOC	MINPP1	9606.ENSP00000378731	9606.ENSP00000361064	0	0	0	0	0.042	0	0.800	0.150	0.822
ALDOC	SLC2A1	9606.ENSP00000378731	9606.ENSP00000416293	0	0	0	0	0.131	0	0	0.448	0.500
ALDOC	IMPA1	9606.ENSP00000378731	9606.ENSP00000408526	0.070	0	0	0	0.062	0	0.399	0.168	0.506
ALDOC	H6PD	9606.ENSP00000378731	9606.ENSP00000473348	0	0	0	0	0.075	0	0.800	0.511	0.901
ALPK1	ALPK2	9606.ENSP00000498374	9606.ENSP00000354991	0	0	0	0	0	0	0	0.570	0.570
ALPK1	CHUK	9606.ENSP00000498374	9606.ENSP00000359424	0	0	0	0	0	0	0.400	0.108	0.441
AMOT	ANKRD1	9606.ENSP00000361027	9606.ENSP00000360762	0	0	0	0	0	0.095	0	0.396	0.430
AMOT	LIN7A	9606.ENSP00000361027	9606.ENSP00000447488	0	0	0	0	0	0.169	0	0.533	0.595
AMOT	MOB1B	9606.ENSP00000361027	9606.ENSP00000379366	0	0	0	0	0	0.092	0.500	0.447	0.727
AMOT	NEDD4L	9606.ENSP00000361027	9606.ENSP00000383199	0	0	0	0	0	0.973	0	0.743	0.992
AMPH	SYT1	9606.ENSP00000348602	9606.ENSP00000261205	0	0	0	0	0.155	0	0	0.477	0.539
AMPH	VPS26A	9606.ENSP00000348602	9606.ENSP00000263559	0	0	0	0	0	0	0	0.738	0.738
AMPH	DNMBP	9606.ENSP00000348602	9606.ENSP00000315659	0	0	0	0.553	0	0.576	0	0.498	0.778
AMPH	PNMA1	9606.ENSP00000348602	9606.ENSP00000318914	0	0	0	0	0.067	0.052	0	0.473	0.494
AMPH	EHD3	9606.ENSP00000348602	9606.ENSP00000327116	0	0	0	0	0.086	0.099	0	0.421	0.482
